standort_equipment;technplatzbezeichng;equipment;equipmentname;ort;wirtschaftseinheit;hersteller;baujahr;antriebsart;anzahl_haltestellen;anzahl_tueren_kabine;anzahl_tueren_schacht;foerdergeschwindigkeit;foerderhoehe;lage;tragkraft;erweiterte_ortsangabe;min_tuerbreite;kabinentiefe;kabinenbreite;kabinenhoehe;tuerhohe;fabriknummer;tuerart;geokoordinaterechtswert;geokoordinatehochwert;ausftextlichebeschreibung
V.NORDTUNNEL Z. BSTG. 1;Bahnsteig 1 (Gleis 4/5);10015811;HA 1095 (NORDTUNNEL Z. BSTG. 1);Düsseldorf Hbf;1401;OTIS GmbH & Co. OHG;2007;SEIL;     2;     2;     2;     1;;NEBEN;    700;;;;;;;;;    3345986,1230000001;    5678514,3729999997;Aufzug zwischen Gleis 4/5 und Tunnel (Nord)
;Bahnsteig 5 (Gleis13/14);10015812;HA 1097 (Nordtunnel z Gl 13/14);Düsseldorf Hbf;1401;OTIS GmbH & Co. OHG;2007;SEIL;     2;     1;     2;     1;;NEBEN;    700;;;;;;;;;    3346016,7319999998;    5678431,1969999997;Aufzug zwischen Gleis 13/14 und Tunnel (Nord)
V.NORDTUNNEL Z. BSTG. 7;Bahnsteig 7 (Gleis17/18);10015813;HA 1096 (NORDTUNNEL Z. BSTG. 7);Düsseldorf Hbf;1401;OTIS GmbH & Co. OHG;2008;SEIL;     2;     1;     2;     0,44;;NEBEN;    630;;;;;;;;;    3346078,9959999998;    5678439,0379999997;Aufzug zwischen Gleis 17/18 und Tunnel (Nord)
BSTG/BRÜCKE;Bahnsteig 01;10016218;HA 1075;Düsseldorf Zoo;1404;OTIS GmbH & Co. OHG;1994;HYDRAULISCH;     2;     2;     2;     0,4;     6,060000000000001;NEBEN;    630;;;;;;;;;;;Aufzug zwischen Bstg 1 und Brücke
TUNNEL/BSTG.;Bahnsteig 01;10016249;HA 1079 (Alt 364);Düsseldorf-Flingern;1410;OTIS GmbH & Co. OHG;2007;SEIL;     2;     2;     2;     1;;NEBEN;    700;;;;;;;;;    3347180,7659999998;    5679093,1220000004;Aufzug zwischen Bstg 1 und Tunnel
TUNNEL/BSTG.;Bahnsteig 01;10016257;HA 1080;Düsseldorf-Garath;1412;OTIS GmbH & Co. OHG;2007;SEIL;     2;     1;     2;     1;;OBEN;    700;;;;;;;;;    3351705,128;    5671849,8320000004;Aufzug zwischen Bstg 1 und Tunnel
TUNNEL/BSTG.;Bahnsteig 01;10016268;HA 1081;Düsseldorf-Hellerhof;1415;OTIS GmbH & Co. OHG;2009;SEIL;     2;     2;     2;     1;;NEBEN;    700;;;;;;;;;    3353681,9640000002;    5668488,8799999999;Aufzug zwischen Bstg 1 und Tunnel
TUNNEL/BSTG.1;Bahnsteig 01 (Gl 3 Ri D´dorf);10016282;HA 1090 (Alt 407);Düsseldorf-Reisholz;1419;OTIS GmbH & Co. OHG;1993;HYDRAULISCH;     2;     2;     2;     0,4;     6,455;NEBEN;    630;;;;;;;931006;ES2;    3350549,193;    5673844,5880000005;Aufzug zwischen Gleis 3 Richtung Düsseldorf und Tunnel
TUNNEL/BSTG.2;Bahnsteig 02 (Gl.4 Ri Köln);10016283;HA 1082 (Alt 408);Düsseldorf-Reisholz;1419;OTIS GmbH & Co. OHG;1993;HYDRAULISCH;     2;     2;     2;     0,4;     6,76;NEBEN;    630;;    903;    1650;    1195;    2098;    1998;931007;ES2;    3350549,071;    5673844,7939999998;Aufzug zwischen Gleis 4 Richtung Köln und Tunnel
BSTG./BRÜCKE;Bahnsteig 01;10016287;HA 1083;Düsseldorf-Unterrath;1420;OTIS GmbH & Co. OHG;2007;SEIL;     2;     1;     2;     1;;NEBEN;    700;;;;;;;;;    3345786,9100000001;    5684744,983;Aufzug zwischen Bstg 1 und Brücke
BAHNSTEIG-BUSBHF. (47KAG377);S-Bahnsteig 01;10016601;PAufzug_HA0193_Bstg.-Busbhf.;Echterdingen;1451;OTIS GmbH & Co. OHG;2007;SEIL;     2;     3;     2;     0,8;     6,3;;    675;;;;;;;47KAG377;;    3512483,5279999999;    5394981,8380000005;
S-BAHN-BSTG.;Personenunterführung;10016721;Personenaufzug HA 260  46101-001;Egelsbach;1471;Paul Schmidt;1996;HYDRAULISCH;     2;     2;     1;     0,6;     4;OBEN;    630;;;;;;;;;    3475225,2540000002;    5537032,2920000004;
UNTERFÜHRUNG S-BAHN BSTG.;Mittelbahnsteig 01;10016773;Bahnsteigaufzug HA 210;Eglharting;1481;Rangger Aufzüge GmbH;1990;SEIL;     2;     2;     2;     0,63;     5;NEBEN;    800;BAHNSTEIGENDE RI MUENCHEN;    1000;    1600;    1350;    2200;    2100;295205;ES2;    3713548,1349999998;    5331082,8619999997;
BSTG.2/3;Bahnsteig 02;10016805;Personenaufzug Bstg. 2  HA 0013;Ehingen (Donau);1483;Kone GmbH;2007;SEIL;     2;     1;     2;     1;     5,5;BAHNSTEIG 2;    1000;;;;;;;;;    3553817,0759999999;    5350010,5599999996;Aufzug zu Bstg 2/3
BSTG. 1;Bahnsteig 01;10016817;PAufzug_HA0198_Bstg.1;Ehningen (b Böblingen);1486;OTIS GmbH & Co. OHG;2006;SEIL;     2;;     2;     0,66;     4,84;NEBEN;    630;;;;;;;47KAE747;;    3495878,2560000001;    5391615,4740000004;
BRÜCKE/ BSTG.2;Aufzugsschacht;10017395;Personenaufzug Nr 21253 A;Emden Hbf;1580;Tepper Aufzüge GmbH;1998;HYDRAULISCH;     2;     1;     2;     1;     5;INTEGRIERT;    1000;;;;;;;;;;;Aufzug zwischen Bstg 2 und Brücke
BRÜCKE/ BSTG.4;Aufzugsschacht;10017398;Personenaufzug Nr 21254 A;Emden Hbf;1580;Tepper Aufzüge GmbH;1998;HYDRAULISCH;     2;     1;     2;     1;     5;OBEN;    1000;;;;;;;;;;;Aufzug zwischen Bstg 4 und Brücke
BRÜCKE/ BSTG.6;Aufzugsschacht;10017400;Personenaufzug Nr 21255 A;Emden Hbf;1580;Tepper Aufzüge GmbH;1998;HYDRAULISCH;     2;     1;     2;     1;     5;GL  6;    1000;;;;;;;;;;;Aufzug zwischen Gleis 6 und Brücke
TUNNEL/BSTG. S-BAHN;Bahnsteig 01;10018039;HA 1084 (Alt 414);Erkrath;1646;OTIS GmbH & Co. OHG;2010;HYDRAULISCH;     2;     1;     2;     0,4;     4,715;OBEN;    630;;;;;;;;;;;Aufzug zwischen Bstg 1 und Tunnel
S-BAHN-BSTG.;Technikraum Aufzug;10018120;Personenaufzug HA 261  46101-001;Erzhausen;1668;Paul Schmidt;1996;HYDRAULISCH;     2;     2;     1;     0,6;     4;OBEN;    630;;;;;;;;;    3475027,3849999998;    5535010,3190000001;
SÜDFLÜGEL LINKER AUFZUG;Fahrstuhl 1;10018397;Personenaufzug HA 3277 links;Essen Hbf;1690;Schindler;1970;SEIL;     7;     1;     7;     1,5;    23,16;OBEN;    900;"0OG;1OG;2OG;3OG;4OG";    900;    1400;    1620;    2050;    1900;500242;ES2;;;
SÜDFLÜGEL RECHTER AUFZUG;Fahrstuhl 2;10018406;Personenaufzug HA 3284 rechts;Essen Hbf;1690;Schindler;1970;SEIL;     7;     1;     7;     1,5;    23,16;OBEN;    900;"0OG;1OG;2OG;3OG;4OG";    900;    2000;    1000;    2050;    2000;500241;ES2;;;
;Personenaufzug Bstg. 1- Tunnel;10018613;Personenaufzug HA 0005;Essen-Steele;1710;Thyssen Krupp AG;1998;HYDRAULISCH;     2;     1;     2;     0,47;     7,18;NEBEN;    1000;"GL101;GL102;0OG";    1000;    1850;    1400;    2150;    2100;242194703;ES2;    3367185,162;    5702810,284;Aufzug zwischen Gleis 101/102 Tunnel (Erdgeschoss)
;Personenaufzug Bstg. 2- Tunnel;10018614;Personenaufzug HA 0009;Essen-Steele;1710;Thyssen Krupp AG;1998;HYDRAULISCH;     2;     1;     2;    42;     5,850000000000001;NEBEN;    1000;"GL103;GL104;0OG";    1000;    1850;    1100;    2150;    2100;242194702;ES2;    3367172,1129999999;    5702797,6880000001;Aufzug zwischen Gleis 103/104 Tunnel (Erdgeschoss)
MITTELBAHNSTEIG;Falkenstein (Vogtl.) Bahnsteig 1-2;10018921;Personenaufzug 1 - Bahnsteig;Falkenstein (Vogtl);1758;Haushahn GmbH & Co. KG;1997;INDIREKT HYDRAULISCH;     2;     1;     2;;     4;AUßEN;    630;;;;;;;;;;;Aufzug zu Bstg 1/2
VORPLATZ;Zuwegung;10018922;Personenaufzug 2  - Vorplatz;Falkenstein (Vogtl);1758;Haushahn GmbH & Co. KG;1997;INDIREKT HYDRAULISCH;     2;     2;     2;;     4;AUßEN;    630;;;;;;;;;;;
MITTELBSTG., WEST;2.UG, S-Bahn Mittelbahnsteig;10019473;Personenaufzug HA 0189;Flughafen München;1822;OTIS GmbH & Co. OHG;2009;SEIL;     2;     1;     2;     1;     7,33;NEBEN;    1550;MITTELBAHNSTEIG, WEST;    1000;    2100;    1600;    2200;    2000;47KAK330;ZS2;    3706494,4649999999;    5361071,3849999998;
MITTELBSTG., OST;2.UG, S-Bahn Mittelbahnsteig;10019474;Personenaufzug HA 0190;Flughafen München;1822;OTIS GmbH & Co. OHG;2008;SEIL;     2;     1;     2;     1;     7,33;NEBEN;    1550;MITTELBAHNSTEIG, OST;    1000;    2100;    1600;    2200;    2000;47KAK116;ZS2;    3706613,1809999999;    5361089,5530000003;
MITTELBSTG., BRÜCKE;S-Mittelbahnsteig 01;10019485;Personenaufzug HA 0191;Flughafen München Besucherpark;1823;Rangger Aufzüge GmbH;2009;SEIL;     2;     1;     2;     1;     5,05;NEBEN;    630;MITTELBAHNSTEIG, BRUECKE;    900;    1140;    1100;    2200;    2000;47KAK331;ES2;    3704933,5660000001;    5360836,2419999996;Aufzug zwischen Bstg 1 und Brücke
BAHNSTEIG 47KAG382;S-Bahnsteig 01;10019515;PAufzug_HA0190_Bstg.1, Gl.1, P20;Stuttgart Flughafen/Messe;1824;OTIS GmbH & Co. OHG;2007;SEIL;     2;     3;     2;     0,7;     5,88;;    1000;;;;;;;47KAG382;;    3514367,0290000001;    5394773,8949999996;
BAHNSTEIG 47KAG383;S-Bahnsteig 01;10019516;PAufzug_HA0191_Bstg.1, Gl. 2, P21;Stuttgart Flughafen/Messe;1824;OTIS GmbH & Co. OHG;2007;SEIL;     2;     3;     2;     0,7;     5,88;;    1000;;;;;;;47KAG383;;;;
;S-Bahnsteig;10019908;Personenaufzug HA 027   46101-001;Frankfurt (Main) Mühlberg;1851;Schindler Aufzüge und Fahrtrep;1991;SEIL;     3;     1;     3;;    12,17;INTEGRIERT;    630;;;;;;;;;    347866,95299999998;    5551776,8930000002;
BSTG GL. 9/10 IN DIE PU;Bahnsteig 03, Gl.9/10;10020096;AZ 23456 Gl.9/10;Frankfurt (Oder);1859;Flohr C;2003;SEIL;     2;     1;     1;     0,8;     4,600000000000001;"BSTG; PU";    1065;"GL. 9/10;PU";    1000;    2000;    1100;    2200;    2100;23456;ES2;    3877978,9010000001;    5814838,5240000002;Aufzug zwischen Gleis 9/10 und Tunnel
BSTG GL.5/6 IN DIE PU;Bahnsteig 02, Gl.5/6;10020100;AZ 23455 Gl. 5/6;Frankfurt (Oder);1859;Flohr C;2003;SEIL;     2;     1;     1;     0,8;     4,600000000000001;VOM BSTG IN DIE PU;    1065;"GL. 5/6;PU";    1000;    2000;    1100;    2200;    2100;23455;ES2;    3878000,7489999998;    5814856,5810000002;Aufzug zwischen Gleis 5/6 und Tunnel
BSTG GL.11/12 IN DIE PU;Bahnsteig 04, Gl.11/12;10020102;AZ 23457 Gl.11/12;Frankfurt (Oder);1859;Flohr C;2003;SEIL;     2;     1;     1;     0,8;     4,600000000000001;VOM BSTG IN DIE PU;    1065;"GL. 11/12;PU";    1000;    2000;    1100;    2200;    2100;23457;ES2;    3877963,4989999998;    5814825,7280000001;Aufzug zwischen Gleis 11/12 und Tunnel
GLASAUFZUG  - COSMOPOLITAN;Querbahnsteig;10020388;Personenaufzug HA 282    46101-021;Frankfurt (Main) Hbf;1866;Rieser Aufzugsbau GmbH;1997;HYDRAULISCH;     2;     1;     2;     0,95;     5,665;OBEN;    1500;;;;;;;;;;;
MARKTHALLE  KG -> 2.OG;KG: Mieter südl. Teil (u. a. Markthalle);10020397;Personenaufzug HA 284    46101-013;Frankfurt (Main) Hbf;1866;Rieser Aufzugsbau GmbH;1997;HYDRAULISCH;     4;     1;     4;     0,65;    10,300000000000001;INTEGRIERT;    1500;;;;;;;;;;;
FA HANISCH NORDSEITE;Kellergeschoss - FHG;10020625;Personenaufzug HA 102    46101-026;Frankfurt (Main) Hbf;1866;M. Schmitt & Sohn GmbH & Co.;1977;SEIL;     5;     1;     5;     0,8;    13,280000000000001;NEBEN;    750;;;;;;;;;;;
=> DB LOUNGE;DB Vertrieb;10020626;Personenaufzug HA 269    46101-012;Frankfurt (Main) Hbf;1866;Aufzugsdienst Leis GmbH;1997;HYDRAULISCH;     2;     1;     2;     0,63;     6,100000000000001;INTEGRIERT;    630;;;;;;;;;;;
KG / 2.OG TREPPENHAUS;Kellergeschoss - FHG;10020629;Personenaufzug HA 030    46101-023 x;Frankfurt (Main) Hbf;1866;M. Schmitt & Sohn GmbH & Co.;1976;SEIL;     4;     1;     4;     0,85;    13,390000000000001;INTEGRIERT;    600;;;;;;;;;;;
C-EBENE <=> VORPLATZ SÜD;C Ebene;10020635;Personenaufzug HA 134    46101-027;Frankfurt (Main) Hbf;1866;Paul Schmidt;1976;HYDRAULISCH;     4;     1;     4;     0,4;    11,69;INTEGRIERT;    1500;;;;;;;;;;;
C-EBENE <=> VORPLATZ SÜD;C Ebene;10020636;Personenaufzug HA 133    46101-029;Frankfurt (Main) Hbf;1866;Paul Schmidt;1976;HYDRAULISCH;     3;     1;     3;     0,4;     6,98;INTEGRIERT;    1500;;;;;;;;;;;
C-EBENE <=> VORPLATZ NORD;C Ebene;10020637;Personenaufzug HA 130    46101-030;Frankfurt (Main) Hbf;1866;Paul Schmidt;1976;HYDRAULISCH;     3;     1;     3;     0,4;    10,210000000000001;INTEGRIERT;    1500;;;;;;;;;;;
B-EBENE - KG;Aufzüge - B-Ebene -;10020683;Personenaufzug HA 083    46101-035;Frankfurt (Main) Hbf;1866;Becker + Reinhardt;1976;SEIL;     2;     1;     2;     0,48;     2,88;INTEGRIERT;    500;;;;;;;;;;;
B-EBENE KELLER FHG;Aufzüge - B-Ebene -;10020991;Personenaufzug HA 084    46101-035;Frankfurt (Main) Hbf;1866;Becker + Reinhardt;1976;HYDRAULISCH;     2;     1;     2;     0,48;     2,88;INTEGRIERT;    500;;;;;;;;;;;
C-EBENE <=> B-EBENE;C Ebene;10020993;Personenaufzug HA 179    46101-028;Frankfurt (Main) Hbf;1866;Paul Schmidt;1976;HYDRAULISCH;     3;     2;     4;     0,4;     6,28;INTEGRIERT;    2500;;;;;;;;;;;
;Personentunnel;10021257;Personenaufzug HA 253  46101-001;Frankfurt-Louisa;1873;Paul Schmidt;1996;HYDRAULISCH;     2;     2;     2;     0,5;     4,99;INTEGRIERT;    630;;;;;;;;;    3476486,7059999998;    5549816,2529999996;
MITTELBAHNSTEIG;Freiberg Bahnsteig 2;10021334;Personenaufzug - Mittelbahnsteig;Freiberg (Sachs);1891;OTIS GmbH & Co. OHG;1999;HYDRAULISCH;     2;     1;     2;     0,41;     5,48;AUßEN;;;;;;;;;;    3805559,2510000002;    5650471,7609999999;Aufzug zu Bstg 2
BAHNSTEIG  7/8;Freiberg Bahnsteig 4 (7);10021338;Personenaufzug - Bstg. 7/8;Freiberg (Sachs);1891;OTIS GmbH & Co. OHG;1999;HYDRAULISCH;     2;     1;     2;     0,41;     5;AUßEN;    1000;;;;;;;;;    3805567,9100000001;    5650450,0389999999;Aufzug zu Bstg 7/8
BAHNSTEIG 1;Freiberg Bahnsteig 1 / Haus-Bstg.;10021339;Personenaufzug - Bstg. 1;Freiberg (Sachs);1891;OTIS GmbH & Co. OHG;1998;HYDRAULISCH;     2;     1;     2;     0,41;     5,4;INNEN;    630;;;;;;;;;    3805564,9240000001;    5650501,9179999996;
AUFZUGSRAUM;Personenaufzug;10021531;Personenaufzug - Betriebsgebäude -;Freiburg (Breisgau) Hbf;1893;OTIS;1996;SEIL;     4;     1;     6;     0,63;    17,449999999999999;;    630;;;;;;;;;;;
BSTG;Inselbahnsteig 1/2;10021769;Personenaufzug;Freital-Hainsberg;1912;Thyssen Krupp AG;2003;SEIL;     2;     1;     2;     1;     5,310000000000001;;    1000;;;;;;;;;    3825630,3930000002;    5660611,909;Aufzug zu Bstg 1/2
EMPFANGSHALLE 1.UG;01 Ebene (Erdgeschoß);10022428;Personenaufzug Empfangshalle HA F002;Fulda;1973;Haushahn GmbH & Co. KG;1990;HYDRAULISCH;     2;     2;     4;;    10;NEBEN;    630;;;;;;;;;;;
TREPPENAUFGANG;Bahnsteig 9/10   ZA;10024649; Behindertenlift (Hiro-Lift);Görlitz;2194;Hiro Lift;2007;INDIREKT HYDRAULISCH;     2;;;     0,1;    11;NEBEN;    300;;;;;;;;;    3918315,5980000002;    5684971,3490000004;Aufzug zu Bstg 9/10
BAHNHOFSVORPLATZ UNTERFÜHRUNG;Hausbahnsteig Gleis 1 und 11;10025129;Personenaufzug Hydro-Seil HA 0212;Grafing Bahnhof;2240;Rangger Aufzüge GmbH;1998;SEIL;     2;     2;     2;     0,63;     3,69;GLEIS 1;    975;BAHNSTEIGMITTE;    1000;    1600;    1360;    2200;    2100;295202;ES2;    3719328,841;    5326983,3739999998;
UNTERFÜHRUNG GLEIS 2-3;Mittelbahnsteig Gleis 2/3 S-Bahn;10025130;Aufzug Gleis 2/3 HA 213,;Grafing Bahnhof;2240;Rangger Aufzüge GmbH;1998;SEIL;     2;     1;     2;     0,66;     4,2;GLEIS 2/3;    825;BAHNSTEIGMITTE;    1000;    1350;    1400;    2200;    2100;295203;ES2;    3719313,264;    5326968,1320000002;Aufzug zwischen Gleis 2/3 und Tunnel
TUNNEL / BAHNSTEIG;Bahnsteigbereich;10025452;Aufzug HA 0205;Gröbenzell;2281;Rangger Aufzüge GmbH;1998;SEIL;     2;     2;     2;     0,63;     5;GLEIS 1/2;    975;BAHNSTEIGENDE IN MAMMENDORF;    1000;    1600;    1470;    2190;    2090;295222;ES2;    3676479,432;    5342456,1960000005;Aufzug zwischen Gleis 2/3 und Tunnel
MASCHINENRAUM EG BSTG.1;RAUM 004 Maschinenraum;10026511;PAZ Bstg.1 Nr.244158702;Güstrow;2432;Thyssen Krupp AG;1998;HYDRAULISCH;     2;     2;     2;     0,35;     3,68;NEBEN;    630;"GL1; PU1UG";    1000;    1450;    1500;    2200;    2100;244158702;ZS2;    3709061,0410000002;    5967961,5460000001;Aufzug zwischen Gleis 1 und Tunnel (1.Untergeschoss)
BAHNSTEIG 2/3;Bahnsteig 02;10026571;PAZ Bstg.2/3  Nr. 244158703;Güstrow;2432;Thyssen Krupp AG;1998;HYDRAULISCH;     2;     1;     2;     0,35;     3,68;OBEN;    630;"GL2;GL3;PU1UG";    1000;    1450;    1500;    2200;    2100;244158703;ZS2;    3709073,656;    5967971,8470000001;Aufzug zwischen Gleis 2/3 und Tunnel (1.Untergeschoss)
BAHNSTEIG 4/5;Bahnsteig 04;10026596;PAZ  Bstg.4  Nr. 244158704;Güstrow;2432;Thyssen Krupp AG;1998;HYDRAULISCH;     2;     1;     2;     0,35;     3,68;OBEN;    630;"GL4;PU1UG";    1000;    1450;    1500;    2200;    2100;244158704;ZS2;    3709084,3300000001;    5967984,6109999996;Aufzug zwischen Gleis 4 und Tunnel (1.UG)
BAHNSTG. 3/4;Gleis 3;10027536;Personenaufzug 3/4;Halle (Saale) Hbf;2498;OTIS GmbH & Co. OHG;1994;HYDRAULISCH;     2;     1;     3;     0,4;     4,350000000000001;OBEN;    630;;    900;    1500;    1200;    2100;    2000;97.1.076;ES2;    3707547;    5708980,352;Aufzug zu Gleis 3, Bstg 3/4
BAHNSTG. 5/6;Gleis 6;10027537;Personenaufzug 5/6;Halle (Saale) Hbf;2498;OTIS GmbH & Co. OHG;1994;HYDRAULISCH;     2;     1;     3;     0,4;     4,270000000000001;OBEN;    630;;    900;    1500;    1200;    2100;    2000;97.1.077;ES2;    3707564,0720000002;    5708990,7110000001;Aufzug zu Gleis 6, Bstg 5/6
BAHNSTG. 1/2;Gleis 1;10027545;Personenaufzug 1/2;Halle (Saale) Hbf;2498;OTIS GmbH & Co. OHG;1994;HYDRAULISCH;     2;     1;     3;     0,4;     4,350000000000001;OBEN;    630;;    900;    1500;    1200;    2100;    2000;97.1.075;ES2;    3707529,0700000003;    5708969,9160000002;Aufzug zu Gleis 1, Bstg 1/2
BAHNSTEIG 9/10;Gleis 10;10027551;Personenaufzug 9/10;Halle (Saale) Hbf;2498;OTIS GmbH & Co. OHG;1998;HYDRAULISCH;     2;     1;     2;     0,4;     4,350000000000001;OBEN;    630;;    900;    1500;    1200;    2100;    2000;94.1.130;ES2;    3707635,5989999999;    5709033,5360000003;Aufzug zu Gleis 10, Bstg 9/10
BAHNSTG. 11/12;Gleis 12;10027556;Personenaufzug 11/12;Halle (Saale) Hbf;2498;OTIS GmbH & Co. OHG;1998;HYDRAULISCH;     2;     1;     3;     0,4;     4,18;OBEN;    630;;    900;    1200;    2100;    2100;    2000;93.1.222;ES2;    3707651,3480000002;    5709042,7220000001;Aufzug zu Gleis 12, Bstg 11/12
BAHNSTG. 7/8;Gleis 7;10027560;Personenaufzug 7/8;Halle (Saale) Hbf;2498;OTIS GmbH & Co. OHG;1998;HYDRAULISCH;     2;     1;     2;     0,4;     4,25;OBEN;    630;;    900;    1500;    1200;    2100;    2000;94.1.129;ES2;    3707618,1179999998;    5709023,2029999997;Aufzug zu Gleis 7, Bstg 7/8
VERWALTUNGSGEBÄUDE;Bürogebäude, Keksdose Ersatzgebäude;10027870;Personenaufzug HA 010;Hamburg Hbf;2514;Thyssen Krupp AG;2009;SEIL;     6;     1;     6;     1;    22,050000000000001;INTEGRIERT;    1000;;;;;;;;;;;
"NORDSTEG; BAHNSTEIG 6";Fernbahnsteig 6, Gl. 13/14;10028019;Personenaufzug HA 019;Hamburg Hbf;2514;OTIS GmbH & Co. OHG;2006;HYDRAULISCH;     2;     1;     2;     1;     5,45;INTEGRIERT;    1350;;;;;;;;;    3566728,003;    5936212,5539999995;Aufzug zwischen Gleis 13/14 und Brücke (Nord)
"BAHNSTEIG 1; AUSGANG POST";S-Bahnsteig 01, Gl. 1/2;10028020;Personenaufzug HA 011;Hamburg Hbf;2514;Brobeil Aufzüge GmbH & Co. KG;2004;HYDRAULISCH;     2;     2;     2;     0,45;     4,61;INTEGRIERT;    825;;;;;;;;;    3566867,2280000001;    5936221,409;"Aufzug zu Gleis 1/2 ; Ausgang Post"
"BAHNSTEIG 2; WANDELHALLE";S-Bahnsteig 2, Gl. 3/4;10028021;Personenaufzug HA 012;Hamburg Hbf;2514;Brobeil Aufzüge GmbH & Co. KG;2004;HYDRAULISCH;     2;     2;     2;     0,45;     5,2;INTEGRIERT;    750;;;;;;;;;    3566834,3700000001;    5936211,8820000002;
"FERNBAHNSTEIG 3; GL. 5/6";Fernbahnsteig 3, Gl. 5/6;10028022;Personenaufzug HA 016;Hamburg Hbf;2514;OTIS GmbH & Co. OHG;2006;SEIL;     2;     1;     2;     1;     5,53;INTEGRIERT;    1350;;    900;;;;    2000;;;    3566849,7590000001;    5936059,4790000003;Aufzug zu Gleis 5/6
"BAHNSTEIG 4; NORDSEITE";Fernbahnsteig 4, Gl. 7/8;10028028;Personenaufzug HA 017;Hamburg Hbf;2514;OTIS GmbH & Co. OHG;2006;HYDRAULISCH;     3;     1;     3;     1;     9,42;INTEGRIERT;    1350;;;;;;;;;    3566839,1710000001;    5936059,148;Aufzug zu Gleis 7/8 (Nord)
"BAHNSTEIG 5; NORDSEITE";Fernbahnsteig 5, Gl. 11/12;10028029;Personenaufzug HA 018;Hamburg Hbf;2514;OTIS GmbH & Co. OHG;2006;HYDRAULISCH;     3;     1;     3;     1;     9,41;INTEGRIERT;    1400;;;;;;;;;    3566756,6639999999;    5936219,4960000003;Aufzug zu Gleis 11/12 (Nord)
ZUM GL 8/ 9;Personentunnel;10028237;Gl 8/9     HA 0024 Personenaufzug;Hamm (Westf);2528;Haushahn GmbH & Co. KG;1998;HYDRAULISCH;     2;;;;;;;;;;;;;;;    3417601,2459999998;    5727834,8329999996;Aufzug zwischen Gleis 8/9 und Tunnel
ZUM GL 10/ 11;Personentunnel;10028238;Gl 10/11   HA 0025 Personenaufzug;Hamm (Westf);2528;Haushahn GmbH & Co. KG;1998;HYDRAULISCH;     2;;;;;OBEN;    875;;;;;;;;;    3417576,8369999998;    5727829,7570000002;Aufzug zwischen Gleis 10/11 und Tunnel
GLEIS 5/ 6;Bstg 4, Mittel-Bstg,Gl 5 u. 6,;10028243;Gl 5/6     HA 0023 Personenaufzug;Hamm (Westf);2528;Haushahn GmbH & Co. KG;1998;HYDRAULISCH;     2;;;;;OBEN;    875;;;;;;;;;    3417618,1150000002;    5727837,6699999999;Aufzug zu Gleis 5/6
ZUM GL 1/ 2;Personentunnel;10028245;Gl 1/2     HA 0021 Personenaufzug;Hamm (Westf);2528;Haushahn GmbH & Co. KG;1998;HYDRAULISCH;     2;;;;;;;;;;;;;;;    3417654,2439999999;    5727843,8650000002;Aufzug zwischen Gleis 1/2 und Tunnel
ZUM GL 3/ 4;Personentunnel;10028246;Gl 3/4     HA 0019 Personenaufzug;Hamm (Westf);2528;Paul Schmidt;1998;HYDRAULISCH;     2;;;;;;;;;;;;;;;    3417634,2390000001;    5727841,7750000004;Aufzug zwischen Gleis 3/4 und Tunnel
S-BAHN GLEIS 1;S - Bahngleis 1 + 2;10028440;Personenaufzug HA 251  46101-001;Hanau Hbf;2537;Paul Schmidt;1995;HYDRAULISCH;     2;     2;     2;     0,5;     4,66;;    630;;;;;;;;;    3495044,5699999998;    5553905,1370000001;Aufzug zu Gleis 1/2
BSTG. 2 GL. 2/3;Bahnsteig 02, Gleise 2+3;10029785;PAufzug_HA0196_Bstg.2, Gl.2/3;Herrenberg;2726;OTIS GmbH & Co. OHG;2008;SEIL;     2;;     2;     0,66;     5;NEBEN;    630;;;;;;;47KAJ029;;;;Aufzug zu Gleis 2/3
BSTG. 3 GL. 4;Bahnsteig 03, Gleis 4;10029786;PAufzug_HA0197_Bstg.3, Gl.4;Herrenberg;2726;OTIS GmbH & Co. OHG;2008;HYDRAULISCH;     2;     2;     2;     0,6;     5;NEBEN;    630;;;;;;;47KAJ030;;;;Aufzug zu Gleis 4
PERSONENTUNNEL-AUFZUGSSCHACHT;Aufzugsschacht/St&S;10030070;Personenaufzug(Gleis 2/3);Hildesheim Hbf;2765;Tepper Aufzüge GmbH;1998;HYDRAULISCH;     2;     1;     1;     0,6;     4;NEBEN;    1000;;;;;;;;;;;Aufzug zwischen Gleis 2/3 und Tunnel
PARKHAUS BETZEGALERIE;Untergeschoss;10032401;Aufzug Parkhaus Nr.11260146;Kaiserslautern Hbf;3082;ATB Aufzugtechnik Baecker GmbH;2006;;;;;;;;;;;;;;;;;;;
PARKHAUS BETZEGALERIE;Untergeschoss;10032402;Aufzug Parkhaus Nr.11260156;Kaiserslautern Hbf;3082;ATB Aufzugtechnik Baecker GmbH;2006;;;;;;;;;;;;;;;;;;;
BAUTEIL A;BT A, KG K58 Aufzugsmaschinen;10033889;Personenaufzug BT A HA29;Kassel-Wilhelmshöhe;3127;Schindler Aufzüge und Fahrtrep;1991;SEIL;     3;     2;     4;     0,5;     7,8;OBEN;    1000;MASCHINENRAUM BT-A KG;;;;;;87555;;;;
